UserIDRe,ItemIDRe,Rating
0,659,1.0
0,1126,1.0
0,1219,1.0
0,1485,1.0
0,1722,1.0
0,2330,1.0
0,2371,1.0
0,2473,1.0
0,3467,1.0
0,3617,1.0
0,4406,1.0
0,5756,1.0
0,7911,1.0
0,8412,1.0
0,8503,1.0
0,8539,1.0
0,8710,1.0
0,9042,1.0
0,9379,1.0
0,9980,1.0
0,10107,1.0
0,10247,1.0
0,10397,1.0
0,10506,1.0
0,11391,1.0
0,11682,1.0
0,11757,1.0
0,12016,1.0
1,28,1.0
1,836,1.0
1,2027,1.0
1,3977,1.0
1,4593,1.0
1,4743,1.0
1,5863,1.0
1,6171,1.0
1,7731,1.0
1,8211,1.0
1,8603,1.0
1,9697,1.0
1,10334,1.0
1,10783,1.0
1,10949,1.0
1,11117,1.0
1,11342,1.0
1,11358,1.0
1,11632,1.0
1,12243,1.0
2,169,1.0
2,4083,1.0
2,4196,1.0
2,6918,1.0
2,8885,1.0
2,9294,1.0
2,11411,1.0
2,11429,1.0
3,2554,1.0
3,5792,1.0
3,6007,1.0
3,6167,1.0
3,7066,1.0
3,7286,1.0
3,8726,1.0
3,8811,1.0
3,8963,1.0
3,8965,1.0
3,9911,1.0
3,10177,1.0
3,10631,1.0
3,10864,1.0
3,11156,1.0
3,11185,1.0
3,11514,1.0
3,11855,1.0
3,12002,1.0
4,5285,1.0
4,5748,1.0
4,7502,1.0
4,7656,1.0
4,8004,1.0
4,8340,1.0
4,9054,1.0
4,9137,1.0
4,9875,1.0
5,1431,1.0
5,1803,1.0
5,1856,1.0
5,1857,1.0
5,2428,1.0
5,3498,1.0
5,4437,1.0
5,5860,1.0
5,6825,1.0
6,1055,1.0
6,3290,1.0
6,5168,1.0
6,5380,1.0
6,5444,1.0
6,5861,1.0
6,6645,1.0
6,7586,1.0
6,7587,1.0
7,580,1.0
7,990,1.0
7,1798,1.0
7,2134,1.0
7,2395,1.0
7,2943,1.0
7,3024,1.0
7,3722,1.0
7,4160,1.0
7,4194,1.0
7,4627,1.0
7,5098,1.0
7,5226,1.0
7,5531,1.0
7,5596,1.0
7,5960,1.0
7,6538,1.0
7,11618,1.0
8,46,1.0
8,172,1.0
8,248,1.0
8,259,1.0
8,277,1.0
8,314,1.0
8,727,1.0
8,887,1.0
8,1116,1.0
8,1431,1.0
8,1447,1.0
8,1765,1.0
8,1803,1.0
8,2068,1.0
8,2134,1.0
8,2171,1.0
8,2178,1.0
8,2277,1.0
8,2294,1.0
8,2516,1.0
8,2541,1.0
8,2548,1.0
8,2625,1.0
8,2695,1.0
8,3267,1.0
8,3270,1.0
8,3338,1.0
8,3463,1.0
8,3525,1.0
8,3939,1.0
8,4121,1.0
8,4211,1.0
8,4465,1.0
8,4735,1.0
8,5019,1.0
8,5904,1.0
8,6867,1.0
8,6941,1.0
8,7652,1.0
8,7798,1.0
8,9318,1.0
9,2136,1.0
9,4769,1.0
9,4830,1.0
9,5171,1.0
9,6731,1.0
9,6918,1.0
9,7033,1.0
9,7259,1.0
9,7663,1.0
9,8266,1.0
9,8615,1.0
9,8725,1.0
9,8947,1.0
9,9251,1.0
9,9362,1.0
9,9714,1.0
9,9833,1.0
9,11199,1.0
9,11278,1.0
9,11309,1.0
9,11533,1.0
9,11651,1.0
9,11699,1.0
9,12163,1.0
9,12207,1.0
10,614,1.0
10,6039,1.0
10,6603,1.0
10,6715,1.0
10,7968,1.0
10,8574,1.0
10,8905,1.0
10,8928,1.0
11,1176,1.0
11,1581,1.0
11,1683,1.0
11,1779,1.0
11,2245,1.0
11,2687,1.0
11,2874,1.0
11,3076,1.0
11,3222,1.0
11,4123,1.0
11,4438,1.0
11,4626,1.0
11,4769,1.0
11,4830,1.0
11,4996,1.0
11,5291,1.0
11,5367,1.0
11,5503,1.0
11,6084,1.0
11,6916,1.0
11,6950,1.0
11,7163,1.0
11,7414,1.0
11,7971,1.0
12,1329,1.0
12,2465,1.0
12,4233,1.0
12,4981,1.0
12,6142,1.0
12,6547,1.0
12,10174,1.0
12,10451,1.0
12,10547,1.0
12,11528,1.0
12,12433,1.0
13,8880,1.0
13,9483,1.0
13,10501,1.0
13,10567,1.0
13,10711,1.0
13,11347,1.0
13,11576,1.0
13,11711,1.0
13,11718,1.0
13,12002,1.0
14,62,1.0
14,630,1.0
14,648,1.0
14,718,1.0
14,889,1.0
14,1048,1.0
14,1596,1.0
14,2741,1.0
14,3379,1.0
14,3805,1.0
14,4249,1.0
14,4771,1.0
14,4772,1.0
14,4785,1.0
14,4805,1.0
14,4850,1.0
14,4934,1.0
14,5389,1.0
14,5531,1.0
14,5540,1.0
14,5804,1.0
14,5854,1.0
14,5975,1.0
14,6638,1.0
14,7549,1.0
14,7564,1.0
14,7986,1.0
14,8634,1.0
14,9322,1.0
14,9340,1.0
14,10076,1.0
14,10343,1.0
14,10524,1.0
14,10691,1.0
14,10764,1.0
14,10893,1.0
14,11422,1.0
14,11494,1.0
14,12194,1.0
14,12419,1.0
15,844,1.0
15,1138,1.0
15,1693,1.0
15,1726,1.0
15,1737,1.0
15,1784,1.0
15,1788,1.0
15,2178,1.0
15,2338,1.0
15,2618,1.0
15,8405,1.0
15,8858,1.0
16,215,1.0
16,978,1.0
16,2908,1.0
16,3229,1.0
16,3463,1.0
16,4543,1.0
16,4658,1.0
16,4828,1.0
16,4948,1.0
16,5021,1.0
16,5141,1.0
16,5228,1.0
16,5980,1.0
16,6688,1.0
16,6801,1.0
16,6831,1.0
16,6897,1.0
16,7253,1.0
16,7421,1.0
16,7550,1.0
16,7626,1.0
16,8584,1.0
16,9675,1.0
16,9677,1.0
16,9716,1.0
16,9800,1.0
16,10780,1.0
16,11025,1.0
16,11027,1.0
16,11051,1.0
16,11643,1.0
16,11915,1.0
16,12090,1.0
16,12156,1.0
16,12240,1.0
17,1513,1.0
17,6093,1.0
17,6714,1.0
17,9160,1.0
17,9897,1.0
17,9977,1.0
17,10196,1.0
17,10198,1.0
17,10769,1.0
17,10935,1.0
17,11033,1.0
17,11036,1.0
17,11160,1.0
17,11627,1.0
17,11678,1.0
17,12248,1.0
18,4454,1.0
18,8235,1.0
18,8580,1.0
18,9276,1.0
18,9291,1.0
18,9349,1.0
18,9439,1.0
18,9606,1.0
18,9628,1.0
19,4153,1.0
19,4653,1.0
19,5827,1.0
19,6024,1.0
19,6409,1.0
19,6603,1.0
19,7203,1.0
19,7502,1.0
19,7524,1.0
19,7656,1.0
19,7903,1.0
19,7968,1.0
19,8574,1.0
19,8799,1.0
19,10820,1.0
20,701,1.0
20,847,1.0
20,1177,1.0
20,2443,1.0
20,3805,1.0
20,4517,1.0
20,4934,1.0
20,5244,1.0
20,5564,1.0
20,6726,1.0
20,8669,1.0
21,4056,1.0
21,5023,1.0
21,5294,1.0
21,5965,1.0
21,6790,1.0
21,6945,1.0
21,9119,1.0
21,9517,1.0
21,9931,1.0
21,9962,1.0
21,10222,1.0
21,10462,1.0
21,10658,1.0
21,10696,1.0
21,12152,1.0
22,399,1.0
22,4053,1.0
22,4069,1.0
22,4371,1.0
22,4637,1.0
22,5151,1.0
22,5250,1.0
22,5795,1.0
22,6026,1.0
22,6514,1.0
22,6588,1.0
22,6610,1.0
22,6857,1.0
22,6888,1.0
22,7056,1.0
22,7116,1.0
22,7461,1.0
22,7464,1.0
22,7534,1.0
22,7616,1.0
22,7905,1.0
22,8066,1.0
22,8067,1.0
22,8237,1.0
22,8704,1.0
22,8879,1.0
22,8954,1.0
22,9057,1.0
22,9115,1.0
22,9134,1.0
22,9213,1.0
22,9400,1.0
22,9531,1.0
22,9708,1.0
22,9858,1.0
22,9869,1.0
22,9907,1.0
22,10103,1.0
22,10187,1.0
22,10529,1.0
22,10746,1.0
22,10796,1.0
22,10840,1.0
22,10972,1.0
22,11004,1.0
22,11183,1.0
22,11444,1.0
22,11558,1.0
22,11716,1.0
22,11853,1.0
22,11938,1.0
22,12004,1.0
22,12006,1.0
22,12153,1.0
22,12357,1.0
22,12388,1.0
23,1777,1.0
23,3626,1.0
23,4079,1.0
23,5682,1.0
23,6034,1.0
23,8836,1.0
23,10501,1.0
23,11586,1.0
24,2905,1.0
24,3319,1.0
24,3571,1.0
24,4030,1.0
24,4047,1.0
24,6752,1.0
24,6970,1.0
24,8973,1.0
24,9200,1.0
24,9568,1.0
24,9663,1.0
24,10548,1.0
24,11851,1.0
24,12261,1.0
25,399,1.0
25,1674,1.0
25,3455,1.0
25,3641,1.0
25,3699,1.0
25,4752,1.0
25,5971,1.0
25,6441,1.0
25,6864,1.0
25,8955,1.0
25,10501,1.0
25,11586,1.0
26,1908,1.0
26,2607,1.0
26,5215,1.0
26,7301,1.0
26,7502,1.0
26,7656,1.0
26,7864,1.0
26,8004,1.0
26,8190,1.0
26,8615,1.0
26,9137,1.0
26,9875,1.0
26,9889,1.0
26,9898,1.0
27,315,1.0
27,996,1.0
27,1680,1.0
27,1892,1.0
27,1939,1.0
27,2299,1.0
