UserID,PosItemID,NegItemID
0,3617,10757
1,12243,10908
2,11429,10165
3,11156,5998
4,5748,2203
5,3498,5244
6,5380,10968
7,11618,6428
8,1431,7517
9,9833,6840
10,6715,1809
11,6950,8677
12,10451,5919
13,9483,1879
14,889,6787
15,1788,10635
16,10780,4032
17,10198,2289
18,8235,12391
19,6409,397
20,8669,9579
21,10696,11294
22,11558,9995
23,1777,7668
24,4030,10263
25,1674,10461
26,9898,10375
27,996,7360
28,10700,12
29,10463,2671
30,65,10674
31,5952,11674
32,7776,4230
33,1639,2071
34,1589,3070
35,8897,2570
36,6801,409
37,5293,3089
38,3248,5181
39,1590,9503
40,9449,9979
41,10328,1853
42,248,12446
43,5327,11180
44,10458,2001
45,4600,1375
46,4118,4681
47,5740,6267
48,2074,7289
49,7060,5307
50,12080,8781
51,3639,1318
52,11820,12320
53,10078,2388
54,10720,3724
55,1218,2848
56,1821,3227
57,2897,1707
58,9002,554
59,3142,11281
60,8451,12149
61,4924,2837
62,10961,7628
63,8588,6028
64,4914,7671
65,12410,5073
66,1515,4932
67,6044,611
68,2887,10324
69,7482,6734
70,12209,1058
71,5116,4718
72,4930,9212
73,6592,9488
74,1275,8188
75,5006,2173
76,5006,1695
77,1970,422
78,1913,8485
79,2815,660
80,11516,2465
81,873,6326
82,7007,587
83,459,7109
84,11076,3429
85,4058,1263
86,11848,2100
87,4717,7495
88,5480,2759
89,4969,4600
90,5170,3878
91,10073,9342
92,8136,9954
93,3965,978
94,6184,6020
95,1355,1815
96,2460,11398
97,2975,9132
98,2427,8188
99,9142,9676
100,11650,3615
101,8450,11823
102,12396,6948
103,3948,11994
104,7305,4257
105,6350,6619
106,3043,3195
107,335,10687
108,9281,7592
109,3716,10720
110,3544,4536
111,12022,513
112,657,12063
113,6329,5844
114,5996,525
115,10961,5243
116,12092,11092
117,1235,12166
118,5329,6679
119,4904,7044
120,8573,363
121,1913,7888
122,5261,11944
123,2333,3450
124,171,6255
125,10221,9743
126,3292,4742
127,4899,7184
128,10227,11387
129,6918,9239
130,1927,3108
131,9951,1504
132,6622,4017
133,9679,6644
134,6333,8232
135,8550,1064
136,4375,6495
137,2773,4246
138,8814,6687
139,5969,11190
140,4253,2125
141,8920,3622
142,715,11952
143,1164,6579
144,8605,1885
145,835,7684
146,9489,9796
147,11232,2373
148,7950,5611
149,1958,186
150,20,8449
151,9201,9290
152,5074,2473
153,1797,11130
154,934,10613
155,2415,747
156,9345,10682
157,8367,9849
158,11810,12275
159,8877,5706
160,9639,5802
161,10290,2207
162,5805,7361
163,4215,3840
164,9568,8635
165,220,9951
166,5911,8537
167,4789,11397
168,4123,11305
169,10639,3146
170,1956,8797
171,9862,992
172,10840,6190
173,12257,2271
174,5949,902
175,619,8532
176,10203,2258
177,1486,10758
178,7538,7689
179,8250,7642
180,4377,5554
181,10981,4184
182,2018,4097
183,9456,12140
184,7869,12249
185,10354,10196
186,4619,617
187,2963,5714
188,4274,12134
189,9749,5584
190,6854,11264
191,8287,5488
192,9659,2023
193,8772,9721
194,8618,7509
195,11953,784
196,1956,1261
197,7148,5670
198,10066,2237
199,419,3757
200,3980,153
201,2400,4092
202,8307,7850
203,8630,12252
204,11372,2331
205,9215,11762
206,6800,5312
207,5088,3614
208,11270,1999
209,4417,9706
210,8765,8225
211,7622,3885
212,12173,6093
213,11975,2714
214,11220,9087
215,6543,7987
216,7656,386
217,10633,1212
218,10944,8538
219,5813,10749
220,3451,11787
221,3060,7907
222,3019,9116
223,5327,11243
224,622,1485
225,3544,721
226,9982,3425
227,4228,160
228,2979,11830
229,7548,6818
230,948,11819
231,2000,7713
232,9,5858
233,1191,7377
234,2801,2851
235,11169,166
236,6839,298
237,7568,8928
238,5000,12292
239,8715,12306
240,1122,7492
241,9524,9051
242,6416,5639
243,2305,27
244,6778,6798
245,5254,3659
246,8221,5954
247,7372,11992
248,3200,9688
249,7785,9001
250,11360,11993
251,10838,10314
252,9900,8290
253,2541,12153
254,6119,6206
255,11561,4912
256,5727,5958
257,6253,1833
258,1148,457
259,12236,1935
260,1809,829
261,1170,303
262,1643,145
263,1773,9658
264,2747,8887
265,171,5205
266,1581,5332
267,1575,1254
268,9373,11720
269,6804,11780
270,8187,10677
271,8910,9198
272,9119,6039
273,375,8886
274,1321,10092
275,3248,7833
276,1763,7489
277,12296,11907
278,10578,10550
279,7694,7956
280,8228,6825
281,10857,4868
282,12261,2844
283,754,8436
284,4338,12240
285,12359,6242
286,1605,7186
287,1725,1278
288,9435,11463
289,5454,3344
290,12206,2616
291,11615,5828
292,1325,2458
293,5187,11070
294,8444,3795
295,1509,5466
296,461,9397
297,9541,8872
298,3312,8329
299,990,8293
300,10611,12225
301,6839,12230
302,308,2776
303,11793,6750
304,9662,8954
305,1430,4156
306,3472,769
307,4450,10941
308,3649,8552
309,5097,6677
310,11251,2363
311,3902,4720
312,4229,5216
313,10217,7658
314,9465,6003
315,10231,11701
316,10837,3319
317,3108,6394
318,11360,11183
319,4997,1602
320,10768,9903
321,2049,296
322,5335,3302
323,5744,4147
324,10352,8120
325,11641,7143
326,5949,8882
327,3364,9785
328,5435,4732
329,1404,3667
330,1590,8255
331,10766,11194
332,11411,1173
333,4635,11230
334,5746,6527
335,11509,8778
336,6881,3578
337,3046,5198
338,5004,9153
339,11899,5198
340,9366,906
341,8845,9191
342,5640,3975
343,7257,5237
344,4956,1709
345,6503,2431
346,6102,3156
347,6584,5375
348,5527,9045
349,11558,8421
350,2957,3313
351,9959,11802
352,11631,8967
353,7798,9615
354,9853,12069
355,7243,7353
356,3961,10034
357,1452,670
358,5821,2070
359,5366,3183
360,4813,2344
361,11074,9540
362,9376,3510
363,3966,3973
364,7688,1533
365,6021,10696
366,5331,9216
367,7070,10550
368,9690,3519
369,2815,3448
370,12262,5071
371,6535,1059
372,5660,353
373,7013,2024
374,10110,11902
375,9364,276
376,12284,2267
377,3698,3443
378,4090,4455
379,1748,6922
380,797,2796
381,2620,2735
382,11318,3002
383,10352,12301
384,4512,9551
385,7014,6690
386,7555,248
387,2558,5577
388,3076,2258
389,2285,8525
390,4503,831
391,798,9017
392,468,1252
393,25,10232
394,4796,7314
395,5949,782
396,7376,12065
397,9370,3308
398,8412,1388
399,936,2489
400,6534,1262
401,3950,11380
402,6899,10864
403,1162,12406
404,10708,2948
405,10755,5738
406,619,10134
407,7626,6096
408,2696,12330
409,167,9399
410,9992,5644
411,2631,8450
412,10396,3524
413,11634,2960
414,1269,11313
415,10326,11335
416,6159,11613
417,11540,290
418,2518,4896
419,3011,2019
420,10825,12147
421,5317,3421
422,7098,10225
423,11199,6823
424,4500,11644
425,6542,104
426,8615,7286
427,4828,82
428,2815,10213
429,6141,11373
430,517,7999
431,9081,1367
432,12272,5458
433,4156,12292
434,8649,6103
435,1220,2681
436,11429,3710
437,3669,5071
438,5352,8738
439,2457,4121
440,4412,4608
441,5119,12412
442,12006,2496
443,11822,2562
444,5238,431
445,878,4439
446,3280,880
447,390,3764
448,10467,5393
449,6888,50
450,11725,1017
451,10631,12128
452,11335,5784
453,7798,3963
454,3393,6023
455,11601,7160
