UserID,PosItemID,NegItemID
0,7466,5994
1,7096,5170
2,2432,8040
3,9149,8453
4,6341,1544
5,9765,7239
6,488,1941
7,810,5733
8,2060,8505
9,1625,6557
10,7237,8624
11,3493,3552
12,6814,3206
13,8324,6344
14,1653,9604
15,7482,1065
16,1849,3611
17,4006,1273
18,2007,2655
19,316,245
20,2153,5007
21,9173,9847
22,8500,3906
23,4057,5359
24,9440,7617
25,500,1149
26,7416,6462
27,4792,2951
28,5644,6819
29,756,582
30,6489,6729
31,2825,7970
32,3161,406
33,782,7758
34,6927,1576
35,6969,8237
36,8073,6208
37,9586,1253
38,336,4877
39,4912,4643
40,9872,179
41,3726,7538
42,6042,7630
43,6776,5536
44,8457,9497
45,7115,7434
46,8211,5907
47,6996,8169
48,7708,5806
49,5950,5578
50,4928,3198
51,2282,1711
52,5163,292
53,2822,6948
54,8288,8368
55,7975,5568
56,1645,2845
57,7867,8765
58,5778,5120
59,5191,1074
60,5319,7799
61,6489,1753
62,9844,2992
63,8141,888
64,3236,4556
65,7471,2937
66,7794,9267
67,5119,8212
68,5635,5875
69,7551,5218
70,9412,3386
71,2199,2717
72,2520,7567
73,7849,1044
74,263,5356
75,7475,7551
76,6107,2666
77,8607,6599
78,8813,2534
79,6770,3288
80,966,8489
81,4282,401
82,6032,9463
83,4520,2919
84,3130,950
85,4453,5346
86,7313,5408
87,3210,6723
88,2478,3910
89,4974,9635
90,10,9446
91,9034,560
92,7711,125
93,8283,774
94,4713,7283
95,3429,1730
96,8695,1461
97,7231,6710
98,5001,9054
99,154,5621
100,7416,1113
101,2375,9534
102,7140,6626
103,9771,6556
104,3017,5732
105,9587,4524
106,7182,3800
107,6377,7090
108,7564,9262
109,7641,7183
110,291,4567
111,8331,2917
112,3859,1398
113,5742,8524
114,6769,4091
115,4317,3020
116,7140,5287
117,2137,9570
118,3615,7810
119,8695,8406
120,7829,7127
121,9792,8682
122,1804,9256
123,9703,8054
124,4464,18
125,472,2184
126,6516,5369
127,1151,1715
128,2831,7932
129,7547,7159
130,5164,9242
131,7179,8953
132,9106,7173
133,5652,4997
134,1139,1320
135,8257,6221
136,3860,1350
137,1153,8255
138,8276,1883
139,7060,4249
140,231,2678
141,8728,4443
142,1007,5451
143,2720,5493
144,1312,6340
145,7033,2894
146,6141,3097
147,4623,762
148,7591,4331
149,3996,2362
150,2155,2258
151,2251,4266
152,2742,4539
153,3552,5025
154,2192,2662
155,9532,8612
156,6873,3815
157,7978,6785
158,1142,6001
159,2128,3716
160,253,6775
161,2536,6857
162,420,9225
163,1737,2338
164,1153,53
165,617,8140
166,7593,9391
167,6925,9845
168,9439,5514
169,6448,3188
170,2102,7886
171,8887,3276
172,1759,4550
173,893,2105
174,2733,8279
175,7096,1068
176,3172,5136
177,1885,1722
178,2034,7839
179,9721,80
180,3724,2294
181,8133,4536
182,2709,2775
183,8581,1627
184,534,7348
185,2133,5651
186,8288,188
187,6395,9366
188,3909,916
189,3534,29
190,1056,3475
191,1535,1766
192,4436,7251
193,681,8432
194,2598,8591
195,3940,9670
196,9767,2189
197,4821,7887
198,6034,7386
199,2144,3107
200,7382,5441
201,2989,4630
202,9779,1001
203,9645,2454
204,7895,9583
205,8924,5410
206,1291,6025
207,3192,1793
208,7861,7015
209,6395,6291
210,7889,6659
211,5057,51
212,955,5063
213,8563,856
214,5094,5774
215,3729,413
216,5716,3462
217,4297,4125
218,6390,2268
219,4669,1961
220,1408,9544
221,4132,7575
222,7216,8479
223,7621,6597
224,1002,6632
225,2253,8538
226,5849,3572
227,6743,4937
228,6938,8700
229,4417,5598
230,1298,374
231,818,2201
232,1262,2264
233,8390,5788
234,5440,282
235,1298,505
236,6911,3717
237,2739,4680
238,515,7145
239,5508,4326
240,280,9873
241,6731,5613
242,594,5308
243,662,8227
244,6656,6135
245,2276,2417
246,6412,2416
247,2784,8226
248,1613,964
249,5999,8412
250,8420,4414
251,9610,3536
252,8888,3136
253,7558,5322
254,7217,5733
255,2856,5007
256,1882,3172
257,3009,9636
258,9219,1113
259,8660,1581
260,2092,874
261,8591,969
262,8097,5171
263,132,1038
264,1737,3323
265,7211,6888
266,458,1993
267,8180,3401
268,4785,8613
269,4633,9308
270,6395,9091
271,8493,7195
272,4515,4335
273,2609,408
274,2721,5209
275,1728,1239
276,3387,6015
277,8906,6263
278,3223,5754
279,2421,957
280,3378,3832
281,9102,8221
282,6529,3407
283,3122,7800
284,1518,3914
285,7817,4471
286,290,5942
287,4233,7262
288,859,6967
289,5792,6549
290,7024,6696
291,438,2649
292,5306,79
293,7059,312
294,6896,7120
295,3496,1915
296,7849,7334
297,8324,7688
298,442,5999
299,2479,3641
300,8909,4341
301,6547,2974
302,4877,8564
303,9475,2834
304,3621,3118
305,820,3925
306,7547,8335
307,5918,8654
308,6495,2786
309,9721,361
310,9351,5563
311,8123,7845
312,6035,7612
313,2206,4178
314,6394,1609
315,9609,6234
316,6134,413
317,3680,5864
318,5175,9088
319,7861,1925
320,1798,5217
321,3193,8395
322,2512,6351
323,5333,8669
324,7060,1200
325,1086,7690
326,4709,6305
327,6180,1753
328,492,1549
329,163,9173
330,9326,6147
331,9769,3684
332,8230,1532
333,5597,3108
334,7818,9703
335,2570,6016
336,6268,2995
337,150,275
338,7958,9050
339,154,5692
340,5319,755
341,5987,1814
342,9248,2841
343,1083,4592
344,5972,7758
345,6929,4835
346,6974,4262
347,242,5301
348,1682,20
349,3559,9652
350,9676,9661
351,4474,5387
352,9032,8763
353,1812,7698
354,1784,9502
355,3495,1398
356,5824,7054
357,9514,5497
358,8390,9102
359,3982,1333
360,7712,6191
361,9506,4922
362,8437,6056
363,8521,4440
364,8593,135
365,580,8206
366,1276,2256
367,1879,7213
368,2138,5068
369,3577,4280
370,4339,3370
371,7066,575
372,9127,9359
373,5851,2197
374,6554,3365
375,2628,44
376,2238,4539
377,3769,3941
378,3835,3222
379,3341,8842
380,7019,9185
381,2156,9390
382,8410,4825
383,1226,6268
384,6425,6024
385,6156,9627
386,6544,8884
387,5385,4153
388,8080,2537
389,4493,7002
390,1641,4834
391,4500,2289
392,8359,5807
393,4456,4136
394,3320,7591
395,7078,6624
396,5284,92
397,1551,4154
398,5945,2211
399,8918,7869
400,5038,2683
401,4604,4939
402,5146,9368
403,2825,8845
404,8603,755
405,4385,9826
406,6750,5216
407,8011,3473
408,2633,6657
409,3453,6494
410,8152,864
411,3078,4508
412,6507,3450
413,9415,5790
