UserID,PosItemID,NegItemID
0,10247,5345
1,4743,5721
2,4083,723
3,8811,11663
4,8004,4931
5,1803,4704
6,5444,2282
7,3722,195
8,3338,11255
9,9251,5765
10,6039,11054
11,5503,8949
12,4233,8446
13,10711,4828
14,11422,1677
15,8405,1917
16,12090,12420
17,11036,11263
18,9439,8314
19,6603,6191
20,6726,10259
21,10222,637
22,6857,11611
23,3626,8516
24,2905,5175
25,3699,10412
26,9875,3328
27,6298,12322
28,4958,6442
29,5291,8830
30,8917,10319
31,8685,3311
32,2744,10024
33,4583,7135
34,1589,9621
35,503,3734
36,10445,8644
37,1716,8371
38,4718,7425
39,1703,9772
40,9697,2274
41,5947,1132
42,11222,9854
43,6899,9580
44,11309,687
45,482,2523
46,7483,8481
47,9906,2141
48,10499,226
49,7600,10932
50,10649,5051
51,5502,11303
52,8123,508
53,1097,2883
54,9734,1468
55,10461,10453
56,11561,346
57,12226,181
58,9768,7796
59,644,6093
60,8451,9168
61,9039,3160
62,10961,5781
63,9273,9734
64,7110,5759
65,12130,6256
66,2488,3577
67,8091,10411
68,9822,4078
69,4229,4906
70,11641,3483
71,7233,7178
72,2823,11497
73,6977,10015
74,2798,6086
75,5006,354
76,5006,586
77,1970,9051
78,1921,1326
79,5131,5259
80,9744,11217
81,3856,6021
82,7007,3869
83,124,11073
84,8296,103
85,1149,1230
86,11848,11525
87,437,11724
88,6800,2728
89,4969,12219
90,5634,1343
91,11276,4438
92,1767,4091
93,6596,8666
94,2396,344
95,912,5613
96,7942,12114
97,2128,10912
98,2809,11798
99,9142,4839
100,1610,3423
101,5694,6425
102,8023,11418
103,1188,4158
104,7295,11960
105,7806,10173
106,2173,8954
107,1329,9526
108,9280,3617
109,3716,6790
110,523,9617
111,10336,9830
112,3832,1554
113,8885,3350
114,5996,11074
115,10082,10857
116,3248,8224
117,657,11794
118,2454,12408
119,6438,5268
120,11108,9101
121,1913,4448
122,878,6222
123,2333,9978
124,2376,7412
125,10509,3756
126,8299,1317
127,5838,428
128,177,8923
129,1709,8668
130,1852,8755
131,9775,2670
132,618,6042
133,9679,2406
134,2799,4994
135,10083,2479
136,3310,7201
137,2039,2210
138,8323,4590
139,9531,12139
140,9926,2132
141,7455,3693
142,7764,10993
143,11763,93
144,9579,10550
145,2106,5313
146,9489,11968
147,4499,8509
148,10634,1443
149,7650,6855
150,1512,3175
151,5439,8475
152,7653,6225
153,6590,4611
154,1210,7451
155,11269,10262
156,3737,12274
157,10774,94
158,11298,5793
159,8002,11314
160,9639,2654
161,5272,11245
162,5805,12271
163,1659,683
164,4739,10465
165,2797,5081
166,4431,10596
167,5535,11558
168,4123,11426
169,10847,2073
170,5839,8251
171,8004,2792
172,8920,10155
173,7601,6957
174,2182,4222
175,573,10366
176,1289,2443
177,8477,4243
178,6900,11742
179,10846,5439
180,837,5067
181,6321,810
182,11445,1227
183,5153,2726
184,7869,380
185,9084,307
186,1667,12393
187,8150,8817
188,6923,5099
189,6261,15
190,956,4889
191,12288,12453
192,8999,6596
193,2593,3054
194,4665,5590
195,6636,5739
196,3184,1768
197,6787,4822
198,11851,2121
199,1188,2692
